Order_ID,Order_Date,Product,Category,Quantity,Price,Revenue,Profit,Region
44,1/9/2019,Puma T-shirt,Fashion,5,30355,151775,36687.76,North
45,2/8/2020,Dell Laptop,Electronics,3,15651,46953,8842.88,West
46,9/16/2020,Boat Earbuds,Accessories,1,12683,12683,2375.12,West
47,4/17/2020,HP Laptop,Electronics,4,48854,195416,59978.9,East
48,12/4/2019,Canon Camera,Electronics,5,68997,344985,124124.91,South
49,6/10/2019,Boat Earbuds,Accessories,3,61635,184905,27991.96,West
50,1/27/2020,iPhone 14,Electronics,5,87331,436655,93172.2,East
51,4/4/2020,Dell Laptop,Electronics,1,70771,70771,18253.46,East
52,10/10/2019,Dell Laptop,Electronics,5,74790,373950,66184.8,East
53,4/25/2020,Samsung Galaxy S23,Electronics,5,54545,272725,65106.05,North
54,6/30/2020,Puma T-shirt,Fashion,5,75043,375215,123748.5,West
55,4/21/2020,iPhone 14,Electronics,1,56991,56991,9396.98,South
56,10/7/2019,Sony Headphones,Accessories,3,33135,99405,39377.88,North
57,7/10/2019,iPhone 14,Electronics,5,66735,333675,62313.02,North
58,7/19/2020,Sony Headphones,Accessories,1,85814,85814,30689.39,South
59,10/24/2020,Dell Laptop,Electronics,2,73491,146982,34131.3,South
60,1/28/2020,Adidas Shoes,Fashion,2,45517,91034,19554.82,East
61,2/12/2020,Boat Earbuds,Accessories,5,6301,31505,6227.27,North
62,5/26/2020,Puma T-shirt,Fashion,2,70816,141632,49773.95,South
63,12/20/2019,Puma T-shirt,Fashion,3,56266,168798,66353.79,South
64,5/5/2019,Apple Watch,Accessories,3,53421,160263,42363.74,South
65,11/12/2020,Nike Shoes,Fashion,2,57161,114322,38576.49,South
66,9/21/2019,Boat Earbuds,Accessories,3,68527,205581,65444.08,North
67,7/15/2019,Puma T-shirt,Fashion,4,49247,196988,48119.71,South
68,10/17/2020,HP Laptop,Electronics,3,40234,120702,44105.93,North
69,4/30/2019,Samsung Galaxy S23,Electronics,4,84113,336452,131126.49,East
70,4/27/2019,Dell Laptop,Electronics,4,26445,105780,41641.6,South
71,9/25/2020,Apple Watch,Accessories,1,75240,75240,29001.38,North
72,9/29/2019,Samsung Galaxy S23,Electronics,1,46043,46043,7659.09,North
73,6/3/2019,Apple Watch,Accessories,5,60138,300690,116689.06,West
74,8/8/2019,Dell Laptop,Electronics,5,73289,366445,145259.39,North
75,8/6/2019,iPhone 14,Electronics,4,29624,118496,33351.47,South
76,12/23/2019,Sony Headphones,Accessories,4,63252,253008,71811.65,East
77,6/29/2019,Nike Shoes,Fashion,2,80105,160210,38646.91,East
78,11/21/2019,Nike Shoes,Fashion,2,10323,20646,3837.63,North
79,4/19/2020,HP Laptop,Electronics,2,49615,99230,25160.37,West
80,6/28/2020,iPad,Electronics,4,72869,291476,74809.72,North
81,2/12/2019,Dell Laptop,Electronics,3,38804,116412,27604.64,West
82,8/27/2020,Puma T-shirt,Fashion,2,27850,55700,21288.7,South
83,9/8/2020,Nike Shoes,Fashion,2,77297,154594,30359.61,East
84,2/17/2020,HP Laptop,Electronics,2,39013,78026,18941.93,West
85,11/6/2020,HP Laptop,Electronics,1,61192,61192,9674.75,South
86,11/19/2020,Sony Headphones,Accessories,1,36235,36235,7185.09,East
87,10/25/2020,HP Laptop,Electronics,2,71140,142280,29294.99,East
88,10/6/2019,Sony Headphones,Accessories,4,36708,146832,33777.06,North
89,3/3/2019,Dell Laptop,Electronics,1,55569,55569,9689.11,West
90,9/3/2020,Canon Camera,Electronics,5,66734,333670,125127.51,West
91,12/18/2020,Canon Camera,Electronics,3,37439,112317,34961.33,East
92,3/10/2019,HP Laptop,Electronics,3,61421,184263,44599.14,East
93,7/18/2020,Puma T-shirt,Fashion,1,11630,11630,4033.49,East
94,2/2/2020,Canon Camera,Electronics,5,22045,110225,17243.37,East
95,8/23/2019,Nike Shoes,Fashion,5,24214,121070,21559.41,East
96,5/6/2020,Samsung Galaxy S23,Electronics,4,48636,194544,40780.77,North
97,9/25/2020,Boat Earbuds,Accessories,5,50843,254215,97061.64,South
98,5/10/2020,Sony Headphones,Accessories,5,55193,275965,42316.5,North
99,10/28/2019,iPhone 14,Electronics,4,58354,233416,40398.84,West
100,7/1/2019,HP Laptop,Electronics,4,20370,81480,22780.44,East
101,5/6/2019,Adidas Shoes,Fashion,2,55629,111258,35317.39,East
102,4/20/2020,Samsung Galaxy S23,Electronics,4,4209,16836,6497.42,West
103,7/9/2019,Canon Camera,Electronics,1,39798,39798,10114.97,North
104,4/27/2019,Puma T-shirt,Fashion,1,24460,24460,4472.52,South
105,5/29/2019,Nike Shoes,Fashion,4,23200,92800,36118.69,West
106,11/6/2020,Boat Earbuds,Accessories,5,62142,310710,52889.39,East
107,6/9/2020,Dell Laptop,Electronics,4,72226,288904,70102.65,East
108,1/12/2019,iPhone 14,Electronics,5,69366,346830,60594.84,South
109,1/8/2019,iPad,Electronics,4,24459,97836,23966.58,South
110,11/12/2019,Puma T-shirt,Fashion,4,62029,248116,75162.5,South
111,5/16/2020,Puma T-shirt,Fashion,4,5335,21340,3274.57,East
112,4/5/2020,iPhone 14,Electronics,1,79252,79252,23553.56,West
113,9/13/2019,Dell Laptop,Electronics,5,45945,229725,37341.8,North
114,8/30/2019,Canon Camera,Electronics,2,66045,132090,22034.97,East
115,8/12/2019,Sony Headphones,Accessories,1,62313,62313,12298.2,East
116,8/5/2019,iPhone 14,Electronics,3,62792,188376,40049.76,South
117,9/1/2020,Adidas Shoes,Fashion,3,87204,261612,49815.59,North
118,6/1/2020,Dell Laptop,Electronics,1,904,904,348.86,West
119,3/12/2020,iPhone 14,Electronics,5,10360,51800,7813.55,East
120,3/24/2019,Sony Headphones,Accessories,5,11416,57080,12028.45,North
121,11/15/2020,Sony Headphones,Accessories,1,39265,39265,13237.78,North
122,2/3/2019,HP Laptop,Electronics,1,38244,38244,8059.93,West
123,11/2/2019,iPad,Electronics,2,58517,117034,32880.39,West
124,2/5/2020,iPhone 14,Electronics,4,24785,99140,20030.79,West
125,3/16/2019,Apple Watch,Accessories,5,40264,201320,48348.94,East
126,12/1/2019,Apple Watch,Accessories,4,7449,29796,7388.75,East
127,4/25/2020,Dell Laptop,Electronics,2,83751,167502,44076.21,West
128,5/18/2019,Puma T-shirt,Fashion,2,43588,87176,14176.55,West
129,3/10/2019,iPhone 14,Electronics,2,20463,40926,15692.71,South
130,2/12/2019,Boat Earbuds,Accessories,5,6069,30345,9644.01,West
131,7/2/2019,Adidas Shoes,Fashion,3,6754,20262,7451.96,West
132,7/14/2019,Adidas Shoes,Fashion,4,41740,166960,29352.05,East
133,1/5/2019,Samsung Galaxy S23,Electronics,5,11814,59070,23024.47,South
134,5/27/2020,Puma T-shirt,Fashion,2,37168,74336,29143.34,North
135,3/19/2019,Canon Camera,Electronics,4,19277,77108,13605.37,South
136,5/1/2019,Adidas Shoes,Fashion,1,23821,23821,4767.71,South
137,12/3/2019,iPad,Electronics,3,19762,59286,18122.46,South
138,9/10/2019,HP Laptop,Electronics,1,59899,59899,12754.6,West
139,8/4/2019,iPad,Electronics,2,29199,58398,17973.25,South
140,12/29/2019,Nike Shoes,Fashion,3,5626,16878,3851.71,East
141,1/15/2019,Puma T-shirt,Fashion,5,89369,446845,119238.66,West
142,9/30/2019,Canon Camera,Electronics,5,10767,53835,21263.87,East
143,6/8/2020,Boat Earbuds,Accessories,2,48415,96830,33086.41,West
144,4/19/2019,Canon Camera,Electronics,4,8061,32244,6536.09,South
145,1/4/2020,HP Laptop,Electronics,2,13410,26820,5729.83,West
146,10/9/2019,Dell Laptop,Electronics,2,60504,121008,37419.23,West
147,1/12/2020,Samsung Galaxy S23,Electronics,3,76203,228609,62967.62,North
148,5/30/2020,Sony Headphones,Accessories,5,2105,10525,3562.82,South
149,6/26/2020,Adidas Shoes,Fashion,1,13546,13546,5243.54,West
150,11/18/2019,Sony Headphones,Accessories,4,9611,38444,14300.79,West
151,8/28/2020,Puma T-shirt,Fashion,3,88386,265158,51899.9,West
152,1/27/2020,Boat Earbuds,Accessories,3,53941,161823,42204.94,South
153,12/24/2020,Dell Laptop,Electronics,5,6969,34845,5505.56,North
154,11/16/2019,HP Laptop,Electronics,1,68084,68084,16840.24,South
155,9/16/2019,Sony Headphones,Accessories,3,32754,98262,27485.35,North
156,10/11/2020,Boat Earbuds,Accessories,2,59883,119766,43881.82,West
157,11/17/2019,Samsung Galaxy S23,Electronics,5,5787,28935,5715.57,East
158,7/3/2020,Sony Headphones,Accessories,1,19716,19716,7311.21,East
159,8/24/2019,Dell Laptop,Electronics,1,84024,84024,16161.61,South
160,6/30/2020,Sony Headphones,Accessories,3,71292,213876,74589.16,North
161,8/17/2019,iPad,Electronics,4,6451,25804,5280.05,South
162,1/14/2020,Puma T-shirt,Fashion,3,87240,261720,92491.52,South
163,3/30/2019,Nike Shoes,Fashion,4,17484,69936,12637.43,South
164,1/23/2019,iPad,Electronics,3,73840,221520,71917.69,East
165,5/17/2020,iPhone 14,Electronics,1,68228,68228,11947.16,South
166,10/7/2020,Sony Headphones,Accessories,3,11802,35406,13127.68,East
167,5/14/2020,Apple Watch,Accessories,3,25019,75057,17005.71,East
168,2/24/2020,iPhone 14,Electronics,4,25553,102212,18043.16,North
169,2/15/2020,Boat Earbuds,Accessories,1,67156,67156,14992.91,East
170,5/31/2020,iPhone 14,Electronics,4,19529,78116,17301.44,East
171,6/8/2019,Nike Shoes,Fashion,1,46697,46697,9091.24,East
172,1/15/2019,HP Laptop,Electronics,5,72395,361975,90135.59,North
173,11/15/2020,iPad,Electronics,5,14882,74410,22156.41,South
174,10/10/2019,Adidas Shoes,Fashion,3,40166,120498,31163.54,North
175,5/14/2019,HP Laptop,Electronics,3,14653,43959,13819.34,West
176,8/6/2019,Apple Watch,Accessories,2,76577,153154,37716.08,North
177,9/7/2020,iPad,Electronics,2,17868,35736,12007.16,West
178,11/20/2019,Adidas Shoes,Fashion,4,40415,161660,41824.14,North
179,8/26/2020,iPad,Electronics,5,626,3130,1132.64,East
180,10/23/2019,Nike Shoes,Fashion,1,86566,86566,18688.64,North
181,9/4/2020,Boat Earbuds,Accessories,3,14218,42654,15752.01,North
182,7/20/2020,Nike Shoes,Fashion,4,19756,79024,25047.72,East
183,5/17/2019,iPad,Electronics,5,12194,60970,23553.3,South
184,9/1/2019,HP Laptop,Electronics,1,13724,13724,5097.55,North
185,7/29/2019,Nike Shoes,Fashion,3,74009,222027,69586.26,East
186,6/28/2019,Samsung Galaxy S23,Electronics,3,36868,110604,28008.58,South
187,5/15/2020,iPad,Electronics,1,68026,68026,24395.6,West
188,10/23/2020,iPhone 14,Electronics,1,37648,37648,9594.7,South
189,3/25/2019,Puma T-shirt,Fashion,2,28196,56392,20046.85,North
190,3/4/2019,iPhone 14,Electronics,4,53353,213412,39447.5,North
191,5/21/2019,iPad,Electronics,1,21306,21306,5351.08,South
192,11/14/2019,Apple Watch,Accessories,3,24942,74826,14969.28,West
193,2/28/2020,iPhone 14,Electronics,5,42960,214800,60570.01,East
194,7/13/2019,Samsung Galaxy S23,Electronics,1,64577,64577,14302.85,South
195,10/5/2020,Puma T-shirt,Fashion,1,27237,27237,7510.52,North
196,4/2/2020,iPad,Electronics,5,12842,64210,10496.48,East
197,6/27/2019,Samsung Galaxy S23,Electronics,4,82474,329896,119079.87,East
198,3/18/2020,iPad,Electronics,1,77034,77034,25924.09,East
199,2/20/2019,iPad,Electronics,1,85730,85730,22087.4,North
200,3/19/2019,Puma T-shirt,Fashion,2,74006,148012,50206.7,West
201,6/14/2019,iPad,Electronics,3,12675,38025,11434.27,South
202,11/3/2020,Sony Headphones,Accessories,2,6650,13300,3214.47,East
203,7/1/2020,Sony Headphones,Accessories,3,20579,61737,21894.48,North
204,12/9/2020,Puma T-shirt,Fashion,2,9205,18410,3172.85,West
205,4/15/2020,Adidas Shoes,Fashion,2,15858,31716,9675.82,East
206,9/13/2019,Puma T-shirt,Fashion,4,15096,60384,18942.58,South
207,5/14/2020,Canon Camera,Electronics,2,63016,126032,41134.77,South
208,6/7/2019,Boat Earbuds,Accessories,4,30475,121900,45278.6,West
209,6/9/2020,Adidas Shoes,Fashion,1,29029,29029,11448.53,North
210,10/5/2019,iPad,Electronics,2,61274,122548,42339.63,East
211,3/16/2019,HP Laptop,Electronics,2,77408,154816,35173.35,South
212,2/3/2019,Samsung Galaxy S23,Electronics,5,38743,193715,53364.09,North
213,12/8/2019,Sony Headphones,Accessories,1,78911,78911,27492.17,North
214,6/17/2019,Adidas Shoes,Fashion,1,81682,81682,14827.53,South
215,11/15/2020,Puma T-shirt,Fashion,5,48424,242120,86232.78,North
216,7/29/2020,Nike Shoes,Fashion,5,29873,149365,40368.96,South
217,10/19/2019,Puma T-shirt,Fashion,3,61620,184860,70117.46,East
218,1/11/2019,Nike Shoes,Fashion,5,57992,289960,55304.14,West
219,8/15/2019,HP Laptop,Electronics,1,25262,25262,8228.33,South
220,7/1/2020,Samsung Galaxy S23,Electronics,5,89899,449495,155644.34,East
221,5/21/2020,HP Laptop,Electronics,3,67798,203394,38567.08,North
222,5/15/2020,Adidas Shoes,Fashion,2,47804,95608,19816.86,North
223,9/7/2020,Canon Camera,Electronics,1,55412,55412,15300.76,South
224,4/18/2019,Canon Camera,Electronics,3,45686,137058,52158.61,West
225,2/13/2019,Dell Laptop,Electronics,2,23551,47102,14590.15,East
226,7/22/2020,Adidas Shoes,Fashion,1,36272,36272,7344.96,East
227,12/5/2019,iPhone 14,Electronics,4,1841,7364,1181.61,West
228,12/10/2020,Sony Headphones,Accessories,1,2250,2250,492.69,West
229,7/24/2020,Canon Camera,Electronics,2,63052,126104,30054.84,South
230,12/11/2020,Canon Camera,Electronics,5,28435,142175,31791.21,North
231,1/26/2020,Apple Watch,Accessories,2,56776,113552,31987.31,South
232,5/12/2020,Sony Headphones,Accessories,1,11622,11622,1962.97,East
233,1/7/2020,Apple Watch,Accessories,5,7237,36185,7733.96,East
234,9/30/2019,Dell Laptop,Electronics,2,18350,36700,7074.7,South
235,4/8/2019,iPad,Electronics,3,35935,107805,39872.57,East
236,12/30/2019,Sony Headphones,Accessories,3,3483,10449,3027.51,East
237,2/1/2020,iPad,Electronics,1,45047,45047,9113.87,South
238,3/25/2020,iPhone 14,Electronics,5,79773,398865,72128.22,East
239,5/21/2019,Dell Laptop,Electronics,2,66581,133162,52556.73,South
240,1/29/2019,Dell Laptop,Electronics,3,40474,121422,48280.86,South
241,9/29/2019,iPhone 14,Electronics,5,74472,372360,104281.16,West
242,12/6/2019,Puma T-shirt,Fashion,1,50572,50572,15976.07,North
243,1/11/2020,iPhone 14,Electronics,1,2550,2550,722.09,South
244,10/26/2020,Samsung Galaxy S23,Electronics,4,33413,133652,45655.26,West
245,12/10/2019,iPhone 14,Electronics,5,35900,179500,66887.64,West
246,1/15/2020,Puma T-shirt,Fashion,3,43501,130503,26166.2,South
247,6/2/2019,Apple Watch,Accessories,3,30257,90771,22388.41,East
248,7/28/2020,HP Laptop,Electronics,4,55342,221368,66322.95,South
249,8/14/2019,Sony Headphones,Accessories,3,34657,103971,35592.66,North
250,5/31/2020,Nike Shoes,Fashion,1,27876,27876,4479.18,North
251,7/26/2020,Boat Earbuds,Accessories,1,47100,47100,7915.72,East
252,8/4/2019,Nike Shoes,Fashion,3,25925,77775,17576.75,East
253,3/30/2019,Dell Laptop,Electronics,5,7787,38935,8294.4,North
254,11/19/2019,HP Laptop,Electronics,5,18174,90870,16414.28,East
255,11/28/2019,Puma T-shirt,Fashion,5,65660,328300,127677.79,South
256,8/14/2019,Canon Camera,Electronics,1,65272,65272,14111.6,West
257,3/29/2020,Puma T-shirt,Fashion,3,4472,13416,5202.78,North
258,8/15/2020,Puma T-shirt,Fashion,5,42255,211275,80488.86,South
259,11/19/2019,iPad,Electronics,5,2896,14480,2510.42,West
260,10/16/2019,iPad,Electronics,2,72219,144438,37346.9,South
261,7/24/2020,iPad,Electronics,3,20123,60369,20445.69,East
262,11/23/2020,Canon Camera,Electronics,5,33630,168150,57226.07,South
263,5/13/2019,HP Laptop,Electronics,3,2969,8907,3141.45,East
264,3/1/2020,Nike Shoes,Fashion,1,49638,49638,8946.36,South
265,3/23/2019,Adidas Shoes,Fashion,5,37009,185045,31980.34,West
266,6/8/2020,Samsung Galaxy S23,Electronics,5,33562,167810,59021.59,South
267,11/30/2020,Adidas Shoes,Fashion,1,35332,35332,13109.55,West
268,2/18/2020,iPad,Electronics,5,1507,7535,2812.48,East
269,2/16/2020,Nike Shoes,Fashion,1,42707,42707,8113.03,West
270,4/28/2020,Sony Headphones,Accessories,5,82697,413485,68511.52,South
271,2/5/2020,HP Laptop,Electronics,3,50692,152076,31518.35,South
272,7/29/2019,Boat Earbuds,Accessories,1,21453,21453,8180.6,South
273,4/4/2020,Puma T-shirt,Fashion,4,87766,351064,88257.85,East
274,4/3/2020,Adidas Shoes,Fashion,1,8313,8313,2552.44,South
275,10/12/2019,Apple Watch,Accessories,2,12245,24490,8120.72,West
276,9/28/2019,iPhone 14,Electronics,3,7040,21120,3937.77,East
277,3/25/2019,Adidas Shoes,Fashion,4,51475,205900,78119.44,South
278,3/15/2020,Adidas Shoes,Fashion,3,53430,160290,26012.52,West
279,10/20/2020,Sony Headphones,Accessories,5,29102,145510,23117.16,North
280,6/10/2020,Sony Headphones,Accessories,3,6126,18378,5470.51,South
281,9/28/2019,Dell Laptop,Electronics,1,83211,83211,25618.04,West
282,8/27/2020,Adidas Shoes,Fashion,4,39841,159364,55629.94,North
283,1/22/2020,iPad,Electronics,3,86053,258159,54147.3,North
284,7/11/2020,Puma T-shirt,Fashion,5,6155,30775,5225.23,East
285,6/4/2020,Canon Camera,Electronics,1,29041,29041,6639.02,South
286,1/21/2020,Canon Camera,Electronics,4,5609,22436,7146.28,West
287,3/13/2019,iPad,Electronics,3,30259,90777,25979.92,North
288,6/15/2019,Samsung Galaxy S23,Electronics,2,83809,167618,26202.89,West
289,4/12/2019,Adidas Shoes,Fashion,5,42188,210940,39017.45,North
290,7/6/2020,iPad,Electronics,3,33481,100443,21365.19,North
291,8/14/2020,Puma T-shirt,Fashion,1,52769,52769,19227.76,South
292,8/30/2019,Boat Earbuds,Accessories,4,49287,197148,61805.08,West
293,8/11/2020,iPhone 14,Electronics,2,6868,13736,5192.67,West
294,11/16/2020,Nike Shoes,Fashion,2,81561,163122,42104.2,South
295,11/1/2019,Samsung Galaxy S23,Electronics,2,66141,132282,47374.07,West
296,3/14/2019,Adidas Shoes,Fashion,5,50286,251430,98586.57,East
297,3/25/2019,Canon Camera,Electronics,2,26789,53578,13055.56,South
298,1/25/2020,Adidas Shoes,Fashion,3,46663,139989,36642.07,South
299,11/30/2020,Boat Earbuds,Accessories,2,34162,68324,16336.65,South
300,6/7/2020,Adidas Shoes,Fashion,2,81385,162770,40966.01,North
301,7/20/2020,Canon Camera,Electronics,5,83686,418430,144440.57,South
302,11/5/2019,HP Laptop,Electronics,5,84347,421735,76773.4,East
303,12/23/2020,Dell Laptop,Electronics,4,20549,82196,32449.72,South
304,2/4/2019,Sony Headphones,Accessories,1,60815,60815,21292.21,North
305,12/25/2020,Boat Earbuds,Accessories,1,30527,30527,10881.4,East
306,12/30/2019,Nike Shoes,Fashion,5,74631,373155,90605.32,South
307,8/30/2020,HP Laptop,Electronics,4,39563,158252,41806.2,North
308,7/31/2020,HP Laptop,Electronics,2,32360,64720,19488.56,East
309,1/6/2020,Samsung Galaxy S23,Electronics,4,45850,183400,60667.45,South
310,1/21/2019,Boat Earbuds,Accessories,5,48864,244320,69276.15,East
311,4/22/2020,iPhone 14,Electronics,3,20475,61425,18345.96,East
312,1/10/2020,Nike Shoes,Fashion,4,66561,266244,41840.57,North
313,1/16/2020,Sony Headphones,Accessories,5,5148,25740,8705.07,East
314,1/28/2019,iPad,Electronics,1,69850,69850,25084.46,South
315,11/6/2020,Dell Laptop,Electronics,5,14260,71300,14732.84,North
316,9/27/2019,Apple Watch,Accessories,3,52733,158199,60372.82,West
317,9/14/2019,Nike Shoes,Fashion,5,77119,385595,74334.68,North
318,7/29/2020,HP Laptop,Electronics,3,23999,71997,16077.34,South
319,11/17/2020,HP Laptop,Electronics,4,85612,342448,85137.87,North
320,6/5/2019,Puma T-shirt,Fashion,5,10347,51735,10273.66,East
321,11/30/2019,Boat Earbuds,Accessories,4,83694,334776,124543.4,South
322,4/29/2019,Canon Camera,Electronics,5,781,3905,1523.59,East
323,6/10/2019,Boat Earbuds,Accessories,5,28904,144520,54608.49,North
324,8/4/2019,Dell Laptop,Electronics,4,41735,166940,25598.99,East
325,7/4/2019,Adidas Shoes,Fashion,2,45772,91544,21990.7,East
326,10/21/2019,iPad,Electronics,3,69285,207855,65336.44,West
327,1/10/2020,Apple Watch,Accessories,5,78631,393155,87999.81,West
328,5/31/2020,Samsung Galaxy S23,Electronics,5,23696,118480,34248.12,East
329,8/6/2019,Boat Earbuds,Accessories,2,48820,97640,18597.61,East
330,10/9/2020,Nike Shoes,Fashion,2,29125,58250,14302.6,East
331,1/1/2019,iPad,Electronics,1,50638,50638,8469.85,East
332,8/8/2019,Sony Headphones,Accessories,5,27484,137420,51306,South
333,11/18/2020,Samsung Galaxy S23,Electronics,1,61076,61076,18217.32,North
334,11/20/2019,Canon Camera,Electronics,5,85650,428250,92239.78,South
335,8/16/2020,Boat Earbuds,Accessories,4,4614,18456,3655,North
336,12/10/2019,Canon Camera,Electronics,3,18272,54816,10718.8,South
337,3/17/2019,Boat Earbuds,Accessories,1,52424,52424,16715.58,South
338,4/17/2020,Apple Watch,Accessories,5,78214,391070,118439.65,North
339,9/24/2019,iPhone 14,Electronics,1,22943,22943,9093.07,East
340,1/3/2019,iPad,Electronics,2,26037,52074,14795.6,North
341,10/26/2020,Nike Shoes,Fashion,2,31848,63696,12519.99,West
342,10/27/2019,Sony Headphones,Accessories,2,54051,108102,27561.35,West
343,1/21/2019,Adidas Shoes,Fashion,2,27487,54974,8857.36,East
344,12/15/2020,Adidas Shoes,Fashion,5,87663,438315,70715.55,East
345,1/8/2020,HP Laptop,Electronics,5,38150,190750,71463.49,West
346,10/9/2020,Adidas Shoes,Fashion,5,72930,364650,97337.83,West
347,8/11/2020,Nike Shoes,Fashion,4,64657,258628,57147.05,West
348,12/17/2019,Nike Shoes,Fashion,1,86865,86865,30812.12,West
349,11/8/2019,Nike Shoes,Fashion,5,64146,320730,71438.9,North
350,3/25/2019,Nike Shoes,Fashion,5,6941,34705,5919.35,West
351,12/28/2019,Boat Earbuds,Accessories,1,22175,22175,8629.33,East
352,10/4/2019,Adidas Shoes,Fashion,5,81258,406290,97714.25,South
353,1/10/2019,Puma T-shirt,Fashion,1,52749,52749,18303.31,West
354,6/1/2019,Nike Shoes,Fashion,1,75888,75888,13168.63,West
355,10/25/2020,iPhone 14,Electronics,2,34584,69168,22443.97,East
356,5/26/2019,HP Laptop,Electronics,4,32410,129640,30220.71,East
357,8/3/2020,HP Laptop,Electronics,2,69076,138152,40618.59,East
358,10/22/2020,iPhone 14,Electronics,3,18133,54399,15328.39,North
359,3/30/2020,Boat Earbuds,Accessories,5,16514,82570,28275.14,West
360,5/23/2020,Adidas Shoes,Fashion,2,75196,150392,45459.52,North
361,8/19/2020,Canon Camera,Electronics,2,18227,36454,13338.16,South
362,4/3/2020,Dell Laptop,Electronics,2,32617,65234,18823.42,East
363,8/6/2019,iPad,Electronics,4,52001,208004,77787.79,South
364,12/19/2019,Nike Shoes,Fashion,5,54753,273765,91376.22,West
365,3/11/2019,Dell Laptop,Electronics,1,31867,31867,9823.35,North
366,5/31/2020,Apple Watch,Accessories,4,72740,290960,55874.28,West
367,3/8/2019,Adidas Shoes,Fashion,5,57049,285245,71823.84,South
368,5/10/2019,Puma T-shirt,Fashion,5,45613,228065,72239.48,East
369,4/15/2020,Puma T-shirt,Fashion,2,59076,118152,17856.3,South
370,4/21/2020,HP Laptop,Electronics,4,61463,245852,39233.94,East
371,1/12/2019,Canon Camera,Electronics,2,89233,178466,51292.43,North
372,8/25/2019,Puma T-shirt,Fashion,4,11254,45016,7571.94,East
373,9/5/2019,Puma T-shirt,Fashion,3,48731,146193,57745.27,West
374,2/10/2020,iPhone 14,Electronics,1,82705,82705,22310.54,South
375,5/14/2020,iPad,Electronics,1,77059,77059,21059.48,South
376,7/31/2020,HP Laptop,Electronics,1,6282,6282,2099.58,North
377,3/24/2020,Sony Headphones,Accessories,2,31182,62364,21218.49,East
378,7/15/2019,Dell Laptop,Electronics,4,43185,172740,49783.56,South
